target,group_col,group,n,skipped_low_sample,base_rate_true_positive,selection_rate_predicted_positive,accuracy,precision,recall_equal_opportunity,f1,roc_auc,specificity,false_positive_rate,false_negative_rate,tn,fp,fn,tp
Effusion,age_group,61-80,453,False,0.3620309050772627,0.45474613686534215,0.673289183222958,0.5388349514563107,0.676829268292683,0.6,0.7259262385011394,0.671280276816609,0.328719723183391,0.3231707317073171,194,95,53,111
Effusion,age_group,81+,12,False,0.3333333333333333,0.4166666666666667,0.75,0.6,0.75,0.6666666666666666,0.625,0.75,0.25,0.25,6,2,1,3
Effusion,View Position,AP,811,False,0.3723797780517879,0.5363748458692972,0.6214549938347719,0.4942528735632184,0.7119205298013245,0.5834464043419267,0.6763423932135468,0.5677799607072691,0.43222003929273084,0.28807947019867547,289,220,87,215
Effusion,View Position,PA,1103,False,0.2656391659111514,0.2583862194016319,0.7824116047144152,0.5929824561403508,0.5767918088737202,0.5847750865051903,0.8013188387477352,0.8567901234567902,0.14320987654320988,0.4232081911262799,694,116,124,169
Atelectasis,Patient Gender,F,895,False,0.28044692737430166,0.4782122905027933,0.623463687150838,0.39953271028037385,0.6812749003984063,0.5036818851251841,0.6889955705129791,0.6009316770186336,0.39906832298136646,0.3187250996015936,387,257,80,171
Atelectasis,Patient Gender,M,1019,False,0.30029440628066734,0.5554465161923454,0.5839057899901865,0.3957597173144876,0.7320261437908496,0.5137614678899083,0.6811731705304843,0.520336605890603,0.4796633941093969,0.2679738562091503,371,342,82,224
Atelectasis,age_group,0-18,111,False,0.2702702702702703,0.36036036036036034,0.6036036036036037,0.325,0.43333333333333335,0.37142857142857144,0.5790123456790124,0.6666666666666666,0.3333333333333333,0.5666666666666667,54,27,17,13
Atelectasis,age_group,19-40,544,False,0.22058823529411764,0.3860294117647059,0.6580882352941176,0.34285714285714286,0.6,0.43636363636363634,0.6986438679245283,0.6745283018867925,0.32547169811320753,0.4,286,138,48,72
Atelectasis,age_group,41-60,794,False,0.3161209068010076,0.5403022670025189,0.6120906801007556,0.43356643356643354,0.7410358565737052,0.5470588235294118,0.7002707402434462,0.5524861878453039,0.44751381215469616,0.2589641434262948,300,243,65,186
Atelectasis,age_group,61-80,453,False,0.33774834437086093,0.6799116997792495,0.5253863134657837,0.39935064935064934,0.803921568627451,0.5336225596529284,0.6250544662309367,0.38333333333333336,0.6166666666666667,0.19607843137254902,115,185,30,123
Atelectasis,age_group,81+,12,False,0.25,0.5833333333333334,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,3,6,2,1
Atelectasis,View Position,AP,811,False,0.32675709001233044,0.6054254007398274,0.5684340320591862,0.4134419551934827,0.7660377358490567,0.5370370370370371,0.6630589536249913,0.4725274725274725,0.5274725274725275,0.2339622641509434,258,288,62,203
Atelectasis,View Position,PA,1103,False,0.26473254759746145,0.45602901178603805,0.6273798730734361,0.3817097415506958,0.6575342465753424,0.4830188679245283,0.6970001520193234,0.6165228113440198,0.3834771886559803,0.3424657534246575,500,311,100,192
Pneumothorax,Patient Gender,F,895,False,0.28156424581005585,0.47262569832402235,0.6905027932960894,0.47044917257683216,0.7896825396825397,0.5896296296296296,0.7932928485028019,0.6516329704510109,0.3483670295489891,0.21031746031746032,419,224,53,199
Pneumothorax,Patient Gender,M,1019,False,0.23748773307163887,0.3228655544651619,0.7419038272816487,0.46808510638297873,0.6363636363636364,0.5394045534150613,0.7797951434315071,0.7747747747747747,0.22522522522522523,0.36363636363636365,602,175,88,154
Pneumothorax,age_group,0-18,111,False,0.3963963963963964,0.5675675675675675,0.6666666666666666,0.5555555555555556,0.7954545454545454,0.6542056074766355,0.7774762550881954,0.582089552238806,0.417910447761194,0.20454545454545456,39,28,9,35
Pneumothorax,age_group,19-40,544,False,0.28308823529411764,0.375,0.7242647058823529,0.5098039215686274,0.6753246753246753,0.5810055865921788,0.7987845487845487,0.7435897435897436,0.2564102564102564,0.3246753246753247,290,100,50,104
Pneumothorax,age_group,41-60,794,False,0.25440806045340053,0.3929471032745592,0.7204030226700252,0.46794871794871795,0.7227722772277227,0.5680933852140078,0.7905990767995719,0.7195945945945946,0.28040540540540543,0.27722772277227725,426,166,56,146
Pneumothorax,age_group,61-80,453,False,0.20309050772626933,0.3708609271523179,0.7262693156732892,0.40476190476190477,0.7391304347826086,0.5230769230769231,0.7801698181380223,0.7229916897506925,0.2770083102493075,0.2608695652173913,261,100,24,68
Pneumothorax,age_group,81+,12,False,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.0,0.5,0.5,1.0,5,5,2,0
Pneumothorax,View Position,AP,811,False,0.1997533908754624,0.2909987669543773,0.7583230579531443,0.4279661016949153,0.6234567901234568,0.507537688442211,0.7816013239742053,0.7919876733436055,0.20801232665639446,0.3765432098765432,514,135,61,101
Pneumothorax,View Position,PA,1103,False,0.30099728014505894,0.46781504986400724,0.6881233000906618,0.4883720930232558,0.7590361445783133,0.5943396226415094,0.7780733830262685,0.6575875486381323,0.3424124513618677,0.24096385542168675,507,264,80,252
